Episode Name,Episode Number,Episode Type,Date Aired,Transcript URL
El MUNDO GIRA,4X11,MOTW,1997/01/12,transcrp/scrp411.htm
KADDISH,4X12,MOTW,1997/02/16,transcrp/scrp412.htm
NEVER AGAIN,4X13,MOTW,1997/02/02,transcrp/scrp413.htm
LEONARD BETTS,4X14,Mythos,1997/01/26,transcrp/scrp414.htm
MEMENTO MORI,4X15,Mythos,1997/02/09,transcrp/scrp415.htm
UNREQUITED,4X16,MOTW,1997/02/23,transcrp/scrp416.htm
TEMPUS FUGIT,4X17,Mythos,1997/03/16,transcrp/scrp417.htm
MAX,4X18,Mythos,1997/03/23,transcrp/scrp418.htm
SYNCHRONY,4X19,MOTW,1997/04/13,transcrp/scrp419.htm
SMALL POTATOES,4X20,MOTW,1997/04/20,transcrp/scrp420.htm
ZERO SUM,4X21,Mythos,1997/04/27,transcrp/scrp421.htm
ELEGY,4X22,MOTW,1997/05/04,transcrp/scrp422.htm
DEMONS,4X23,Mythos,1997/05/11,transcrp/scrp423.htm
GETHSEMANE,4X24,Mythos,1997/05/18,transcrp/scrp424.htm
UNUSUAL SUSPECTS,5X01,Mythos,1997/11/16,transcrp/scrp501.htm
REDUX,5X02,Mythos,1997/11/02,transcrp/scrp502.htm
REDUX II,5X03,Mythos,1997/11/09,transcrp/scrp503.htm
DETOUR,5X04,MOTW,1997/11/23,transcrp/scrp504.htm
CHRISTMAS CAROL,5X05,Mythos,1997/12/07,transcrp/scrp505.htm
POST-MODERN PROMETHEUS,5X06,MOTW,1997/11/30,transcrp/scrp506.htm
EMILY,5X07,Mythos,1997/12/14,transcrp/scrp507.htm
KITSUNEGARI,5X08,MOTW,1998/01/04,transcrp/scrp508.htm
SCHIZOGENY,5X09,MOTW,1998/01/11,transcrp/scrp509.htm
CHINGA,5X10,MOTW,1998/02/08,transcrp/scrp510.htm
KILL SWITCH,5X11,MOTW,1998/02/15,transcrp/scrp511.htm
BAD BLOOD,5X12,MOTW,1998/02/22,transcrp/scrp512.htm
PATIENT X,5X13,Mythos,1998/03/01,transcrp/scrp513.htm
THE RED AND THE BLACK,5X14,Mythos,1998/03/08,transcrp/scrp514.htm
TRAVELERS,5X15,Mythos,1998/03/29,transcrp/scrp515.htm
MIND'S EYE,5X16,MOTW,1998/04/19,transcrp/scrp516.htm
ALL SOULS,5X17,MOTW,1998/04/26,transcrp/scrp517.htm
THE PINE BLUFF VARIANT,5X18,MOTW,1998/05/03,transcrp/scrp518.htm
FOLIE A DEUX,5X19,MOTW,1998/05/10,transcrp/scrp519.htm
THE END,5X20,Mythos,1998/05/17,transcrp/scrp520.htm
THE BEGINNING,6X01,Mythos,1998/11/08,transcrp/scrp601.htm
DRIVE,6X02,MOTW,1998/11/15,transcrp/scrp602.htm
TRIANGLE,6X03,MOTW,1998/11/22,transcrp/scrp603.htm
DREAMLAND,6X04,Mythos,1998/11/29,transcrp/scrp604.htm
DREAMLAND II,6X05,Mythos,1998/12/06,transcrp/scrp605.htm
TERMS OF ENDEARMENT,6X06,MOTW,1999/01/03,transcrp/scrp606.htm
RAIN KING,6X07,MOTW,1999/01/10,transcrp/scrp607.htm
HOW THE GHOSTS STOLE CHRISTMAS,6X08,MOTW,1998/12/13,transcrp/scrp608.htm
TITHONUS,6X09,MOTW,1999/01/24,transcrp/scrp609.htm
SR 819,6X10,Mythos,1999/01/17,transcrp/scrp610.htm
TWO FATHERS,6X11,Mythos,1999/02/07,transcrp/scrp611.htm
ONE SON,6X12,Mythos,1999/02/14,transcrp/scrp612.htm
ARCADIA,6X13,MOTW,1999/03/07,transcrp/scrp613.htm
AGUA MALA,6X14,MOTW,1999/02/21,transcrp/scrp614.htm
MONDAY,6X15,MOTW,1999/02/28,transcrp/scrp615.htm
ALPHA,6X16,MOTW,1999/03/28,transcrp/scrp616.htm
TREVOR,6X17,MOTW,1999/04/11,transcrp/scrp617.htm
MILAGRO,6X18,MOTW,1999/04/18,transcrp/scrp618.htm
THREE OF A KIND,6X19,Mythos,1999/05/02,transcrp/scrp619.htm
THE UNNATURAL,6X20,Mythos,1999/04/25,transcrp/scrp620.htm
FIELD TRIP,6X21,MOTW,1999/05/09,transcrp/scrp621.htm
BIOGENESIS,6X22,Mythos,1999/05/16,transcrp/scrp622.htm
HUNGRY,7ABX01,MOTW,1999/11/21,transcrp/scrp701.htm
THE GOLDBERG VARIATION,7ABX02,MOTW,1999/12/12,transcrp/scrp702.htm
THE SIXTH EXTINCTION,7ABX03,Mythos,1999/11/07,transcrp/scrp703.htm
THE SIXTH EXTINCTION II: AMOR FATI,7ABX04,Mythos,1999/11/14,transcrp/scrp704.htm
MILLENNIUM,7ABX05,MOTW,1999/11/28,transcrp/scrp705.htm
RUSH,7ABX06,MOTW,1999/12/05,transcrp/scrp706.htm
ORISON,7ABX07,MOTW,1999/01/09,transcrp/scrp707.htm
THE AMAZING MALEENI,7ABX08,MOTW,2000/01/16,transcrp/scrp708.htm
SIGNS AND WONDERS,7ABX09,MOTW,2000/01/23,transcrp/scrp709.htm
SEIN UND ZEIT,7ABX10,Mythos,2000/02/06,transcrp/scrp710.htm
CLOSURE,7ABX11,Mythos,2000/02/13,transcrp/scrp711.htm
X-COPS,7ABX12,MOTW,2000/02/20,transcrp/scrp712.htm
FIRST PERSON SHOOTER,7ABX13,MOTW,2000/02/27,transcrp/scrp713.htm
THEEF,7ABX14,MOTW,2000/03/12,transcrp/scrp714.htm
EN AMI,7ABX15,Mythos,2000/03/19,transcrp/scrp715.htm
CHIMERA,7ABX16,MOTW,2000/04/02,transcrp/scrp716.htm
all things,7ABX17,MOTW,2000/04/09,transcrp/scrp717.htm
HOLLYWOOD A.D.,7ABX18,MOTW,2000/04/30,transcrp/scrp718.htm
BRAND X,7ABX19,MOTW,2000/04/16,transcrp/scrp719.htm
FIGHT CLUB,7ABX20,MOTW,2000/05/07,transcrp/scrp720.htm
JE SOUHAITE,7ABX21,MOTW,2000/05/14,transcrp/scrp721.htm
REQUIEM,7ABX22,Mythos,2000/05/21,transcrp/scrp722.htm
WITHIN,8ABX01,Mythos,2000/11/05,transcrp/scrp801.htm
WITHOUT,8ABX02,Mythos,2000/11/12,transcrp/scrp802.htm
REDRUM,8ABX03,MOTW,2000/12/10,transcrp/scrp803.htm
PATIENCE,8ABX04,MOTW,2000/11/19,transcrp/scrp804.htm
ROADRUNNERS,8ABX05,MOTW,2000/11/26,transcrp/scrp805.htm
INVOCATION,8ABX06,MOTW,2000/12/03,transcrp/scrp806.htm
VIA NEGATIVA,8ABX07,MOTW,2000/12/17,transcrp/scrp807.htm
PER MANUM,8ABX08,Mythos,2001/02/18,transcrp/scrp808.htm
SUREKILL,8ABX09,MOTW,2001/01/07,transcrp/scrp809.htm
SALVAGE,8ABX10,MOTW,2001/01/14,transcrp/scrp810.htm
THE GIFT,8ABX11,Mythos,2001/02/04,transcrp/scrp811.htm
BADLAA,8ABX12,MOTW,2001/01/21,transcrp/scrp812.htm
MEDUSA,8ABX13,MOTW,2001/02/11,transcrp/scrp813.htm
THIS IS NOT HAPPENING,8ABX14,Mythos,2001/02/25,transcrp/scrp814.htm
DEADALIVE,8ABX15,Mythos,2001/04/01,transcrp/scrp815.htm
VIENEN,8ABX16,Mythos,2001/04/29,transcrp/scrp816.htm
EMPEDOCLES,8ABX17,MOTW,2001/04/22,transcrp/scrp817.htm
THREE WORDS,8ABX18,Mythos,2001/04/08,transcrp/scrp818.htm
ALONE,8ABX19,Mythos,2001/05/06,transcrp/scrp819.htm
ESSENCE,8ABX20,Mythos,2001/05/13,transcrp/scrp820.htm
EXISTENCE,8ABX21,Mythos,2001/05/20,transcrp/scrp821.htm
NOTHING IMPORTANT HAPPENED TODAY,9ABX01,Mythos,2001/11/11,transcrp/scrp901.htm
NOTHING IMPORTANT HAPPENED TODAY II,9ABX02,Mythos,2001/11/18,transcrp/scrp902.htm
DÆMONICUS,9ABX03,MOTW,2001/12/02,transcrp/scrp903.htm
HELLBOUND,9ABX04,MOTW,2002/01/27,transcrp/scrp904.htm
4-D,9ABX05,MOTW,2001/12/09,transcrp/scrp905.htm
LORD OF THE FLIES,9ABX06,MOTW,2001/12/16,transcrp/scrp906.htm
JOHN DOE,9ABX07,MOTW,2002/01/13,transcrp/scrp907.htm
TRUST NO 1,9ABX08,Mythos,2002/01/06,transcrp/scrp908.htm
UNDERNEATH,9ABX09,MOTW,2002/03/31,transcrp/scrp909.htm
PROVENANCE,9ABX10,Mythos,2002/03/03,transcrp/scrp910.htm
PROVIDENCE,9ABX11,Mythos,2002/03/10,transcrp/scrp911.htm
SCARY MONSTERS,9ABX12,MOTW,2002/04/14,transcrp/scrp912.htm
AUDREY PAULEY,9ABX13,MOTW,2002/03/17,transcrp/scrp913.htm
IMPROBABLE,9ABX14,MOTW,2002/04/07,transcrp/scrp914.htm
JUMP THE SHARK,9ABX15,Mythos,2002/04/21,transcrp/scrp915.htm
RELEASE,9ABX16,MOTW,2002/05/05,transcrp/scrp916.htm
WILLIAM,9ABX17,Mythos,2002/04/28,transcrp/scrp917.htm
SUNSHINE DAYS,9ABX18,MOTW,2002/05/12,transcrp/scrp918.htm
THE TRUTH I,9ABX19,Mythos,2002/05/19,transcrp/scrp919.htm
THE TRUTH II,9ABX20,Mythos,2002/05/19,transcrp/scrp919.htm#truth_part2
